Distancia,Run,MesmoCanal,FlowId,Origem,Destino,PacotesEnviados,PacotesRecebidos,PacotesPerdidos,TaxaPerda,ThroughputMbps,AtrasoMedioMs
1,1,0,1,192.168.1.1,192.168.1.2,40000,39967,33,0.0825,42.0432,0.000678764
1,1,0,2,192.168.2.1,192.168.2.2,40000,39997,3,0.0075,42.0749,0.000675959
1,1,1,1,192.168.1.1,192.168.1.2,40000,36235,3765,9.4125,28.1694,1.61919
1,1,1,2,192.168.2.1,192.168.2.2,40000,36289,3711,9.2775,28.3208,1.59468
1,2,0,1,192.168.1.1,192.168.1.2,40000,39983,17,0.0425,42.0599,0.000675727
1,2,0,2,192.168.2.1,192.168.2.2,40000,39983,17,0.0425,42.0591,0.00067976
1,2,1,1,192.168.1.1,192.168.1.2,40000,36323,3677,9.1925,28.1286,1.60448
1,2,1,2,192.168.2.1,192.168.2.2,40000,35997,4003,10.0075,28.2114,1.66034
1,3,0,1,192.168.1.1,192.168.1.2,40000,39962,38,0.095,42.0342,0.000678985
1,3,0,2,192.168.2.1,192.168.2.2,40000,39968,32,0.08,42.0445,0.00067963
1,3,1,1,192.168.1.1,192.168.1.2,40000,36542,3458,8.645,28.3137,1.59372
1,3,1,2,192.168.2.1,192.168.2.2,40000,36074,3926,9.815,28.6734,1.60479
1,4,0,1,192.168.1.1,192.168.1.2,40000,39978,22,0.055,42.054,0.000679774
1,4,0,2,192.168.2.1,192.168.2.2,40000,39993,7,0.0175,42.0704,0.000677551
1,4,1,1,192.168.1.1,192.168.1.2,40000,36584,3416,8.54,28.4233,1.60259
1,4,1,2,192.168.2.1,192.168.2.2,40000,35913,4087,10.2175,27.9059,1.63264
1,5,0,1,192.168.1.1,192.168.1.2,40000,39951,49,0.1225,42.0233,0.000681018
1,5,0,2,192.168.2.1,192.168.2.2,40000,39987,13,0.0325,42.0642,0.000680254
1,5,1,1,192.168.1.1,192.168.1.2,40000,35819,4181,10.4525,27.8998,1.63507
1,5,1,2,192.168.2.1,192.168.2.2,40000,36569,3431,8.5775,28.4687,1.58562
1,6,0,1,192.168.1.1,192.168.1.2,40000,39972,28,0.07,42.0431,0.000679522
1,6,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0697,0.000681417
1,6,1,1,192.168.1.1,192.168.1.2,40000,36216,3784,9.46,28.0126,1.51673
1,6,1,2,192.168.2.1,192.168.2.2,40000,35909,4091,10.2275,27.9358,1.74385
1,7,0,1,192.168.1.1,192.168.1.2,40000,39993,7,0.0175,42.0704,0.000678184
1,7,0,2,192.168.2.1,192.168.2.2,40000,39978,22,0.055,42.055,0.000677009
1,7,1,1,192.168.1.1,192.168.1.2,40000,36467,3533,8.8325,28.4019,1.59013
1,7,1,2,192.168.2.1,192.168.2.2,40000,35897,4103,10.2575,28.1214,1.63417
1,8,0,1,192.168.1.1,192.168.1.2,40000,39973,27,0.0675,42.0494,0.000679444
